SGA,Number of appearances as the best estimators,Rank of number of appearances as the best estimators
PIK3CA,20,1.0
CSMD1,19,3.0
TP53,19,3.0
GATA3,19,3.0
TTN,18,5.0
CDH1,17,7.0
CSMD3,17,7.0
ERBB2,17,7.0
NOTCH2,15,10.0
MYEOV,15,10.0
OXR1,14,14.0
TRPS1,14,14.0
RYR2,14,14.0
OBSCN,14,14.0
DNAH14,14,14.0
USH2A,14,14.0
TARBP1,14,14.0
HMCN1,13,19.0
SPTA1,13,19.0
FLG,13,19.0
TG,12,27.0
CNBD1,12,27.0
COL22A1,12,27.0
PVT1,12,27.0
ERLIN2,12,27.0
OR2T2,12,27.0
PLEKHA6,12,27.0
RIMS2,12,27.0
BAI1,12,27.0
KCNU1,12,27.0
BAG4,12,27.0
AHCTF1,12,27.0
ZFPM2,12,27.0
OR2T3,11,38.0
ORAOV1,11,38.0
MYC,11,38.0
DENND3,11,38.0
PPFIA1,11,38.0
PKHD1L1,11,38.0
OR2T1,11,38.0
GPR137B,11,38.0
RAD54B,10,46.0
PLEC,10,46.0
FER1L6,10,46.0
OR2T34,10,46.0
INTS8,10,46.0
BAALC,10,46.0
TCHH,10,46.0
EFR3A,10,46.0
GRHL2,9,58.0
HHLA1,9,58.0
HSF1,9,58.0
NDUFB9,9,58.0
GLI4,9,58.0
TRIM67,9,58.0
ZNF670,9,58.0
ARID4B,9,58.0
UBR5,9,58.0
ADCK5,9,58.0
ADCY8,9,58.0
PLD5,9,58.0
OR2AK2,9,58.0
OR2L3,9,58.0
CYP11B1,9,58.0
ANO1,9,58.0
KCNQ3,8,70.0
VPS13B,8,70.0
FMN2,8,70.0
COL14A1,8,70.0
ASH1L,8,70.0
RAB11FIP1,8,70.0
OR2T33,8,70.0
OR2C3,8,70.0
FAM135B,8,70.0
RN7SL350P,8,70.0
ZP4,7,80.0
SLC52A2,7,80.0
RUNX1T1,7,80.0
TACC1,7,80.0
ENPP2,7,80.0
PDE4DIP,7,80.0
OR14K1,7,80.0
TBC1D31,7,80.0
SHANK2,7,80.0
PLEKHF2,7,80.0
IRF2BP2,6,88.0
LINC00536,6,88.0
PCNXL2,6,88.0
BCL9,6,88.0
FLG2,6,88.0
CDC42BPA,6,88.0
NOV,5,97.0
ADSS,5,97.0
CA14,5,97.0
ESRP1,5,97.0
MTSS1,5,97.0
CEP170,5,97.0
EIF3H,5,97.0
ZFAT,5,97.0
RNF139,5,97.0
EPPK1,5,97.0
TMEM74,5,97.0
RECQL4,4,111.0
PTK2,4,111.0
MIR30D,4,111.0
TARS2,4,111.0
ATAD2,4,111.0
CPSF1,4,111.0
FAM49B,4,111.0
TRAPPC9,4,111.0
TAF2,4,111.0
KHDRBS3,4,111.0
KIAA1429,4,111.0
AGO2,4,111.0
TFB2M,4,111.0
CCDC166,4,111.0
LRP12,4,111.0
WHSC1L1,4,111.0
SLC26A7,4,111.0
ARNT,3,133.0
TMEM71,3,133.0
DCAF13,3,133.0
OR2G6,3,133.0
OR2G2,3,133.0
TRIQK,3,133.0
DPY19L4,3,133.0
WISP1,3,133.0
OR14A16,3,133.0
ATP6V1C1,3,133.0
LYST,3,133.0
CTTN,3,133.0
ABRA,3,133.0
GDF6,3,133.0
ASH2L,3,133.0
MATN2,3,133.0
LRRC6,3,133.0
MIR2053,3,133.0
SLC30A8,3,133.0
RNA5SP276,3,133.0
RGS7,3,133.0
SNTB1,3,133.0
KCNK9,3,133.0
ACTN2,3,133.0
RGS22,3,133.0
RAD21,3,133.0
NLRP3,3,133.0
ZNF703,2,164.0
snoU13|ENSG00000238372.1,2,164.0
ZNF496,2,164.0
ZNF250,2,164.0
SIPA1L2,2,164.0
TSPYL5,2,164.0
TP53INP1,2,164.0
PHF20L1,2,164.0
SNX31,2,164.0
SLC39A4,2,164.0
RNF19A,2,164.0
TMEM75,2,164.0
snoU13|ENSG00000238901.1,2,164.0
MIR548AA1,2,164.0
C8orf86,2,164.0
HEATR1,2,164.0
PCAT1,2,164.0
KCNV1,2,164.0
FGFR1,2,164.0
FGF4,2,164.0
ECM1,2,164.0
MFSD3,2,164.0
MIR1208,2,164.0
CPQ,2,164.0
CNST,2,164.0
CDH17,2,164.0
CASC7,2,164.0
MTBP,2,164.0
GPR124,2,164.0
AKT3,2,164.0
OR2T27,2,164.0
ARHGAP39,2,164.0
ASAP1,2,164.0
NSMCE2,2,164.0
ARC,2,164.0
FGF19,1,214.0
FGF3,1,214.0
TMEM67,1,214.0
ZNF695,1,214.0
C1orf101,1,214.0
FAM84B,1,214.0
GEM,1,214.0
ADRB3,1,214.0
ADAMTSL4,1,214.0
GOT1L1,1,214.0
FBXL6,1,214.0
TRHR,1,214.0
EXO1,1,214.0
ENY2,1,214.0
TRIM58,1,214.0
ANGPT1,1,214.0
DDHD2,1,214.0
ZNF623,1,214.0
ANXA13,1,214.0
TSNARE1,1,214.0
GPR20,1,214.0
COLEC10,1,214.0
ZHX1,1,214.0
CCND1,1,214.0
PGBD2,1,214.0
SPAG1,1,214.0
GPT,1,214.0
OC90,1,214.0
RN7SKP226,1,214.0
RN7SKP153,1,214.0
MRPL13,1,214.0
NCALD,1,214.0
NDRG1,1,214.0
NID1,1,214.0
NIPAL2,1,214.0
ODF1,1,214.0
GSDMC,1,214.0
PTDSS1,1,214.0
PROSC,1,214.0
OR2M5,1,214.0
OR2M7,1,214.0
OR2T5,1,214.0
OSR2,1,214.0
PARP10,1,214.0
MIR661,1,214.0
RNA5SP275,1,214.0
MIR548A3,1,214.0
MIR3150B,1,214.0
SYBU,1,214.0
HRSP12,1,214.0
KIF26B,1,214.0
SLC45A4,1,214.0
LAPTM4B,1,214.0
LINC00861,1,214.0
LY6D,1,214.0
MAL2,1,214.0
SHARPIN,1,214.0
MAPK15,1,214.0
SETDB1,1,214.0
SDCCAG8,1,214.0
SDC2,1,214.0
SCRIB,1,214.0
SCCPDH,1,214.0
NAPRT1,1,214.0
