tree_id,num_rows_in_tree_output,num_nonzero_nodes,unique_SGA_used,duplicated_nonzero_node_rows,root_node,depth,terminal_zero_rows,bootstrap_DEG_0,bootstrap_DEG_1
1,127,63,59,4,ZFPM2,23,64,564,215
2,147,73,60,13,INTS8,30,74,569,210
3,141,70,61,9,ZFPM2,21,71,556,223
4,165,82,68,14,MYEOV,30,83,567,212
5,195,97,67,30,MYEOV,33,98,554,225
6,147,73,60,13,MYEOV,22,74,573,206
7,191,95,74,21,RN7SL350P,42,96,551,228
8,165,82,68,14,ZFPM2,34,83,557,222
9,199,99,74,25,TTN,36,100,544,235
10,117,58,49,9,MYEOV,25,59,550,229
11,189,94,67,27,ZFPM2,29,95,558,221
12,151,75,52,23,MYEOV,18,76,554,225
13,191,95,68,27,TTN,44,96,550,229
14,175,87,71,16,PLEKHA6,41,88,551,228
15,135,67,54,13,MYEOV,18,68,556,223
16,201,100,77,23,GEM,30,101,561,218
17,139,69,61,8,INTS8,38,70,562,217
18,203,101,70,31,FAM135B,27,102,551,228
19,177,88,77,11,GATA3,38,89,553,226
20,175,87,68,19,MIR661,35,88,562,217
